# table produced by DamageProfiler
# using mapped file PaA018.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA018.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.2081943782753692
2	0.02244039270687237
3	0.01343892488600912
4	0.008458192363460609
5	0.008932882665379043
6	0.00831551437396056
7	0.009859502095144195
8	0.008438818565400843
9	0.008977556109725686
10	0.006557377049180328
11	0.009579955784819455
12	0.006399212404627123
13	0.006598240469208211
14	0.010492923377257199
15	0.007216742843396681
16	0.007920792079207921
17	0.006684822975984155
18	0.006614404703576678
19	0.009134737376300432
20	0.008487269096355467
21	0.007167572911517549
22	0.008979795460214518
23	0.008476689104961356
24	0.007462686567164179
25	0.0077306733167082295
