# table produced by DamageProfiler
# using mapped file PcA015.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA015.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	1045
+	31	997
+	32	1090
+	33	1075
+	34	1140
+	35	1219
+	36	1195
+	37	1277
+	38	1305
+	39	1371
+	40	1382
+	41	1438
+	42	1368
+	43	1353
+	44	1379
+	45	1329
+	46	1281
+	47	1300
+	48	1227
+	49	1261
+	50	1303
+	51	1200
+	52	1170
+	53	1094
+	54	1096
+	55	1062
+	56	1053
+	57	926
+	58	955
+	59	866
+	60	865
+	61	842
+	62	793
+	63	708
+	64	714
+	65	692
+	66	665
+	67	618
+	68	565
+	69	564
+	70	557
+	71	562
+	72	515
+	73	447
+	74	432
+	75	430
+	76	420
+	77	379
+	78	365
+	79	365
+	80	326
+	81	304
+	82	279
+	83	288
+	84	278
+	85	313
+	86	258
+	87	239
+	88	236
+	89	204
+	90	184
+	91	194
-	30	1069
-	31	1019
-	32	1029
-	33	1037
-	34	1151
-	35	1124
-	36	1231
-	37	1298
-	38	1268
-	39	1352
-	40	1395
-	41	1345
-	42	1437
-	43	1379
-	44	1324
-	45	1313
-	46	1245
-	47	1270
-	48	1280
-	49	1257
-	50	1200
-	51	1222
-	52	1165
-	53	1042
-	54	1063
-	55	982
-	56	933
-	57	948
-	58	934
-	59	818
-	60	831
-	61	838
-	62	767
-	63	812
-	64	727
-	65	663
-	66	627
-	67	653
-	68	633
-	69	571
-	70	541
-	71	475
-	72	496
-	73	500
-	74	494
-	75	431
-	76	462
-	77	400
-	78	377
-	79	329
-	80	346
-	81	308
-	82	288
-	83	291
-	84	287
-	85	259
-	86	242
-	87	231
-	88	239
-	89	225
-	90	212
-	91	207
