# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_011.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_011.bam
pos	5pC>T
1	0.006944444444444444
2	0.0
3	0.013333333333333334
4	0.011494252873563218
5	0.023076923076923078
6	0.031746031746031744
7	0.0
8	0.013888888888888888
9	0.02027027027027027
10	0.0
11	0.028985507246376812
12	0.006756756756756757
13	0.03546099290780142
14	0.0072992700729927005
15	0.015151515151515152
16	0.013986013986013986
17	0.006666666666666667
18	0.007407407407407408
19	0.0
20	0.014285714285714285
21	0.0136986301369863
22	0.014814814814814815
23	0.015384615384615385
24	0.007575757575757576
25	0.0
