# table produced by DamageProfiler
# using mapped file RxA009.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA009.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	5131
+	31	4916
+	32	5028
+	33	5092
+	34	4880
+	35	4759
+	36	4838
+	37	4608
+	38	4441
+	39	4004
+	40	4083
+	41	3846
+	42	3653
+	43	3428
+	44	3213
+	45	3035
+	46	2806
+	47	2659
+	48	2380
+	49	2261
+	50	1965
+	51	1816
+	52	1672
+	53	1450
+	54	1389
+	55	1286
+	56	1077
+	57	929
+	58	896
+	59	877
+	60	756
+	61	666
+	62	544
+	63	484
+	64	449
+	65	446
+	66	373
+	67	309
+	68	297
+	69	252
+	70	226
+	71	232
+	72	166
+	73	178
+	74	157
+	75	134
+	76	124
+	77	97
+	78	91
+	79	87
+	80	77
+	81	67
+	82	54
+	83	59
+	84	55
+	85	35
+	86	29
+	87	33
+	88	35
+	89	35
+	90	18
+	91	16
+	92	20
+	93	17
+	94	15
+	95	11
+	96	12
+	97	11
+	98	9
+	99	15
+	100	12
+	101	8
+	102	10
+	103	11
+	104	3
+	105	4
+	106	5
+	107	5
+	108	6
+	109	1
+	110	3
+	111	2
+	112	1
+	113	4
+	114	1
+	115	2
+	116	3
+	117	1
+	118	1
+	119	2
+	120	3
+	121	3
+	122	2
+	123	1
+	124	1
+	125	2
+	127	1
+	131	3
+	134	1
+	135	3
+	136	1
+	139	1
+	147	1
+	148	1
+	162	1
+	164	1
+	176	1
+	209	1
-	30	4846
-	31	4817
-	32	4898
-	33	5098
-	34	4904
-	35	4875
-	36	4773
-	37	4452
-	38	4390
-	39	4231
-	40	4025
-	41	3939
-	42	3682
-	43	3558
-	44	3285
-	45	3050
-	46	2737
-	47	2574
-	48	2371
-	49	2251
-	50	2009
-	51	1811
-	52	1689
-	53	1547
-	54	1415
-	55	1267
-	56	1120
-	57	975
-	58	868
-	59	816
-	60	730
-	61	648
-	62	581
-	63	521
-	64	471
-	65	433
-	66	380
-	67	343
-	68	254
-	69	263
-	70	212
-	71	209
-	72	197
-	73	188
-	74	149
-	75	127
-	76	126
-	77	118
-	78	101
-	79	93
-	80	84
-	81	61
-	82	62
-	83	41
-	84	47
-	85	51
-	86	36
-	87	38
-	88	27
-	89	28
-	90	26
-	91	21
-	92	17
-	93	24
-	94	25
-	95	17
-	96	16
-	97	11
-	98	13
-	99	11
-	100	7
-	101	8
-	102	9
-	103	12
-	104	5
-	105	6
-	106	6
-	107	5
-	108	5
-	109	1
-	110	4
-	111	1
-	112	1
-	113	3
-	114	5
-	115	2
-	116	4
-	117	1
-	119	5
-	120	2
-	121	4
-	122	1
-	124	1
-	127	3
-	128	1
-	129	1
-	130	1
-	131	1
-	132	1
-	133	2
-	136	1
-	141	2
-	142	1
-	143	2
-	146	1
-	150	1
-	171	1
