# table produced by DamageProfiler
# using mapped file RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_SCR_002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.048974967865623845
2	0.03468006419649711
3	0.023153297903019815
4	0.01906366737047263
5	0.018284852314654383
6	0.01865739524165673
7	0.017803388664315817
8	0.020213439450122096
9	0.019190485843638083
10	0.020135746606334843
11	0.01870012927383765
12	0.01941508970262964
13	0.019435764466015113
14	0.019178505932521708
15	0.01928288280217688
16	0.01948496149347927
17	0.01805165144061841
18	0.01900950475237619
19	0.018059832820061593
20	0.018116663348596455
21	0.017903379290503906
22	0.019067371378872013
23	0.018266989420835576
24	0.018824112899589702
25	0.018497399872274427
