SampleID,CGG,MuseumID,Box,occurrenceID,GBIF URL,3D model MorphoSource URL,StudyPhase,Sequenced,species_identifiable_genetically,Collagen extracted,Taxon_morphology,Taxon_genetic,Taxon_assigned,Taxon_assigned_common,Taxon_plots,Taxon_plots_common,name of site or location where sample originated,Site_short,stratigraphic context,site location,site latitude,site longitube,latest chronometric age,latest chronometric age reference system,earliest chronometric age,earliest chronometric age reference system,chronometric age protocol,chronometric age remarks,geological epoch,MIS,sample description,material_group,material_type,subsample target for dna,subsample target for collagen,site references,state_province_region,country,museum_institution,sampling permit,sampling permit issuing authority,sahra caseid,export permit,export permit issuing authority,project acronym,project title,msca grant no.,call reference,notes
RmA004,CGG_1_024870,T-48 A1 Ed,,SAMC:Archaeology:T-48-A1-Ed:CGG_1_024870,https://www.gbif.org/occurrence/4947704478,https://www.morphosource.org/concern/biological_specimens/000813319,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Edward,South Africa: Western Cape Province,-34.101111,23.375556,2910,BP,3055,BP,associated absolute dating,"Between units 43 (David) and 49 (Garth). Layer Edward is Unit 44, lower bound is uncalibrated 14C date of overlying Layer David . (Inskeep 1987)",Holocene,MIS 1,"Tooth | Premolar+molars | Right mandible with Rdp3, Rm2-m3",Tooth,2xMolars,"Outer layer drilled, then whole root cut + crushed (w/ hammer)",Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-48 refers to ID given by Sealy et al 2020
RmA005,CGG_1_024871,T-49 Ed,,SAMC:Archaeology:T-49-Ed:CGG_1_024871,https://www.gbif.org/occurrence/4947704440,https://www.morphosource.org/concern/biological_specimens/000813321,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Edward,South Africa: Western Cape Province,-34.101111,23.375556,2910,BP,3055,BP,associated absolute dating,"Between units 43 (David) and 49 (Garth). Layer Edward is Unit 44, lower bound is uncalibrated 14C date of overlying Layer David . (Inskeep 1987)",Holocene,MIS 1,Tooth | Premolar? | Complete,Tooth,2xMolars?,Crushed hollow roots,Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-49 refers to ID given by Sealy et al 2020
RmA006,CGG_1_024872,T-50 Ed A1,,SAMC:Archaeology:T-50-Ed-A1:CGG_1_024872,https://www.gbif.org/occurrence/4947704557,https://www.morphosource.org/concern/biological_specimens/000813324,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Edward,South Africa: Western Cape Province,-34.101111,23.375556,2910,BP,3055,BP,associated absolute dating,Uncalibrated radiocarbon (c14) age ± error of the specimen (UCIAMS-296269). (Inskeep 1987),Holocene,MIS 1,Tooth | Molars | Partial right maxilla with M1-M3,Tooth,3xMolars,Crushed semi-hollow roots (molar),Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-50 refers to ID given by Sealy et al 2020
RmA007,CGG_1_024873,T-33 Reg SQ1,,SAMC:Archaeology:T-33-Reg-SQ1:CGG_1_024873,https://www.gbif.org/occurrence/4947704484,https://www.morphosource.org/concern/biological_specimens/000813325,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Reg,South Africa: Western Cape Province,-34.101111,23.375556,4460,BP,5540,BP,associated absolute dating,"Between units 86 (Paul) and 105 (Hearth below Victoria). Layer Reg is Unit 86, lower bound is uncalibrated 14C date of overlying Layer Paul . (Inskeep 1987)",Holocene,MIS 1,Tooth | Molars | Partial right mandible with m2-m3,Tooth,2xMolars,Crushed semi-hollow roots (molar),Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-33 refers to ID given by Sealy et al 2020
RmA008,CGG_1_024874,T-34 Reg,,SAMC:Archaeology:T-34-Reg:CGG_1_024874,https://www.gbif.org/occurrence/4947704538,https://www.morphosource.org/concern/biological_specimens/000813327,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Reg,South Africa: Western Cape Province,-34.101111,23.375556,4460,BP,5540,BP,associated absolute dating,"Between units 86 (Paul) and 105 (Hearth below Victoria). Layer Reg is Unit 86, lower bound is uncalibrated 14C date of overlying Layer Paul . (Inskeep 1987)",Holocene,MIS 1,Tooth | Premolar+molars | Partial right mandible with Rp4-m3,Tooth,"Molars, premolars",Crushed semi-hollow roots (molar),Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-34 refers to ID given by Sealy et al 2020
RmA009,CGG_1_024875,T-32 Vincent SQ3,,SAMC:Archaeology:T-32-Vincent-SQ3:CGG_1_024875,https://www.gbif.org/occurrence/4947704443,https://www.morphosource.org/concern/biological_specimens/000813328,Phase 1,Yes,Yes,Yes,Raphicerus melanotis,Raphicerus melanotis,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Nelson Bay Cave ,NBC,Vincent,South Africa: Western Cape Province,-34.101111,23.375556,5100,BP,5930,BP,associated absolute dating,Uncalibrated radiocarbon (c14) age ± error of the specimen (UCIAMS-296270). (Inskeep 1987),Holocene,MIS 1,Tooth | Premolars+molars | Partial left mandible with Lp2-m2,Tooth,"Molars, premolars",Crushed semi-hollow roots (molar),Dentine,https://doi.org/10.1016/j.quascirev.2019.105974; https://doi.org/10.1016/0033-5894(72)90034-8; https://doi.org/10.1017/RDC.2016.12,Western Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),16929,3348,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,T-32 refers to ID given by Sealy et al 2020
RmA010,CGG_1_025859,1A 1-3 40059,113,SAMC:Archaeology:1A-1-3-40059:CGG_1_025859,https://www.gbif.org/occurrence/4947704489,https://www.morphosource.org/concern/biological_specimens/000813329,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 1-3,South Africa: Eastern Cape Province,-34.108103,24.390139,44200,BP,57400,BP,associated absolute dating,"LU ESR of Layer 1A 6. LU ESR estimate of Layer 6 Cave 1A, which is the only layer above L9 with a date estimate, thus applied to Layers 1-8 of the Upper Member of Cave 1A, Upper, Post-HP Middle Stone Age III. (Grine et al 2017; Grün et al 1990)",,MIS 3,Tooth | Molars | Partial right maxilla with RM1-M2,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA011,CGG_1_025860,1 19 CF 20666,113,SAMC:Archaeology:1-19-CF-20666:CGG_1_025860,https://www.gbif.org/occurrence/4947704324,https://www.morphosource.org/concern/biological_specimens/000813330,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1 19,South Africa: Eastern Cape Province,-34.108103,24.390139,110000,BP,130000,BP,associated absolute dating,"AAR and delta-18O shell of layer. lower bound is AAR estimate of published Layer 38 which is equivalent to excavated Layer 19. Upper bound is that of MIS5e., LBS, Middle Stone Age I.. (Grine et al 2017; Bada & Deems 1975; Shackleton 1982)",,MIS 5,Tooth | Premolar+molar | Partial right mandible with Rdp4-m1,Tooth,Premolar+molar,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA012,CGG_1_025861,1A 15 40367,113,SAMC:Archaeology:1A-15-40367:CGG_1_025861,https://www.gbif.org/occurrence/4947704446,https://www.morphosource.org/concern/biological_specimens/000813331,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 15,South Africa: Eastern Cape Province,-34.108103,24.390139,38900,BP,70900,BP,associated absolute dating,"LU ESR and U-series of Layer 1A 14 representing Howieson's Poort Member at KRM. Estimates are of Layer 14 Cave 1A. The single estimate for Layer 15 Cave 1A is within this range and both form part of the ""Upper"" member. Lower bound is LU ESR estimate, upper bound is U-series estimate, Upper, Howieson's Poort . (Grine et al 2017; Grün et al 1990; Vogel 2001)",,MIS 3/4,Tooth | Molars | Partial left mandible with Lm2-m3,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA013,CGG_1_025862,1A 17 H1-2 J1-2 40983,113,SAMC:Archaeology:1A-17-H1-2-J1-2-40983:CGG_1_025862,https://www.gbif.org/occurrence/4947704613,https://www.morphosource.org/concern/biological_specimens/000813332,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 17,South Africa: Eastern Cape Province,-34.108103,24.390139,38900,BP,70900,BP,associated absolute dating,"LU ESR and U-series of Layer 1A 14 representing Howieson's Poort Member at KRM. Estimates are of Layer 14 Cave 1A. The single estimate for Layer 17 Cave 1A is simply >50 ka from 14C, and both form part of the ""Upper"" member. Lower bound is LU ESR estimate, upper bound is U-series estimate, Upper, Howieson's Poort . (Grine et al 2017; Grün et al 1990; Vogel 2001)",,MIS 3/4,Tooth | Premolar+molars | Partial left mandible with Lp4-m3,Tooth,Premolar+molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA014,CGG_1_025863,1A 3 A 41335,113,SAMC:Archaeology:1A-3-A-41335:CGG_1_025863,https://www.gbif.org/occurrence/4947704313,https://www.morphosource.org/concern/biological_specimens/000813333,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 3,South Africa: Eastern Cape Province,-34.108103,24.390139,44200,BP,57400,BP,associated absolute dating,"LU ESR of Layer 1A 6. LU ESR estimate of Layer 6 Cave 1A, which is the only layer above L9 with a date estimate, thus applied to Layers 1-8 of the Upper Member of Cave 1A, Upper, Post-HP Middle Stone Age III. (Grine et al 2017; Grün et al 1990)",,MIS 3,Tooth | Molars | Partial right mandible with Rm1-m3,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA015,CGG_1_025864,1A 9d D1 41549,113,SAMC:Archaeology:1A-9d-D1-41549:CGG_1_025864,https://www.gbif.org/occurrence/4947704432,https://www.morphosource.org/concern/biological_specimens/000813334,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 9d,South Africa: Eastern Cape Province,-34.108103,24.390139,40400,BP,60200,BP,associated absolute dating,"OSL and SG-OSL of layer. lower bound is OSL estimate and upper bound is SG-OSL estimate of Layer 9 Cave 1A, Upper, Post-HP Middle Stone Age III. (Grine et al 2017; Feathers 2002; Jacobs et al 2008)",,MIS 3/4,Tooth | Premolars | Partial left mandible with Ldp2-dp3,Tooth,Premolars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA016,CGG_1_025865,1A 18 H+J1-2 40998,113,SAMC:Archaeology:1A-18-H+J1-2-40998:CGG_1_025865,https://www.gbif.org/occurrence/4947704434,https://www.morphosource.org/concern/biological_specimens/000813335,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 18,South Africa: Eastern Cape Province,-34.108103,24.390139,38900,BP,70900,BP,associated absolute dating,"LU ESR and U-series of Layer 1A 14 representing Howieson's Poort Member at KRM. Estimates are of Layer 14 Cave 1A. The single estimate for Layer 18 Cave 1A is simply >40 ka from 14C, and both form part of the ""Upper"" member. Lower bound is LU ESR estimate, upper bound is U-series estimate, Upper, Howieson's Poort . (Grine et al 2017; Grün et al 1990; Vogel 2001)",,MIS 3/4,Tooth | Premolars+molar | Partial left mandible with Ldp2-m1,Tooth,Premolars+molar,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA017,CGG_1_025866,1A 20 cA 26729,113,SAMC:Archaeology:1A-20-cA-26729:CGG_1_025866,https://www.gbif.org/occurrence/4947704473,https://www.morphosource.org/concern/biological_specimens/000813336,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 20,South Africa: Eastern Cape Province,-34.108103,24.390139,38900,BP,70900,BP,associated absolute dating,"LU ESR and U-series of Layer 1A 14 representing Howieson's Poort Member at KRM. Estimates are of Layer 14 Cave 1A. None available for L20, and both form part of the ""Upper"" member. Lower bound is LU ESR estimate, upper bound is U-series estimate, Upper, Howieson's Poort . (Grine et al 2017; Grün et al 1990; Vogel 2001)",,MIS 3/4,Tooth | Premolars+molars | Partial left mandible with Ldp3-m2,Tooth,Premolars+molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA018,CGG_1_025867,1A 20 SCA 26728,113,SAMC:Archaeology:1A-20-SCA-26728:CGG_1_025867,https://www.gbif.org/occurrence/4947704387,https://www.morphosource.org/concern/biological_specimens/000813337,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1A 20,South Africa: Eastern Cape Province,-34.108103,24.390139,38900,BP,70900,BP,associated absolute dating,"LU ESR and U-series of Layer 1A 14 representing Howieson's Poort Member at KRM. Estimates are of Layer 14 Cave 1A. None available for L20, and both form part of the ""Upper"" member. Lower bound is LU ESR estimate, upper bound is U-series estimate, Upper, Howieson's Poort . (Grine et al 2017; Grün et al 1990; Vogel 2001)",,MIS 3/4,"Tooth | Premolars+molar | Partial left mandible with Ldp2-dp3,Lm1",Tooth,Premolars+molar,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA019,CGG_1_025868,1 18 A 23658,113,SAMC:Archaeology:1-18-A-23658:CGG_1_025868,https://www.gbif.org/occurrence/4947704314,https://www.morphosource.org/concern/biological_specimens/000813338,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1 18,South Africa: Eastern Cape Province,-34.108103,24.390139,90000,BP,110000,BP,associated absolute dating,"AAR of layer and relation to layer underneath. lower bound is AAR estimate of published Layer 37 which is excavated Layer 18. Upper bound is the lower bound of Layer 19/38 underneath., LBS RBS, Middle Stone Age I. (Grine et al 2017; Bada & Deems 1975)",,MIS 5,Tooth | Molars | Partial left mandible with Lm1-m2,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA020,CGG_1_025869,1 16 TJ 15448,113,SAMC:Archaeology:1-16-TJ-15448:CGG_1_025869,https://www.gbif.org/occurrence/4947704569,https://www.morphosource.org/concern/biological_specimens/000813339,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1 16,South Africa: Eastern Cape Province,-34.108103,24.390139,60800,BP,89000,BP,associated absolute dating,"OSL/TL and AAR of layer. lower bound is OSL/TL estimate. Upper bound is AAR estimate. Both for Layer 16 Cave 1, SAS U, Middle Stone Age II. (Grine et al 2017; Feathers 2002; Bada & Deems 1975)",,MIS 4/5,Tooth | Molars | Partial left mandible with Lm1-m3,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA021,CGG_1_025870,1 16 A 15449,113,SAMC:Archaeology:1-16-A-15449:CGG_1_025870,https://www.gbif.org/occurrence/4947704584,https://www.morphosource.org/concern/biological_specimens/000813340,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1 16,South Africa: Eastern Cape Province,-34.108103,24.390139,60800,BP,89000,BP,associated absolute dating,"OSL/TL and AAR of layer. lower bound is OSL/TL estimate. Upper bound is AAR estimate. Both for Layer 16 Cave 1, SAS U, Middle Stone Age II. (Grine et al 2017; Feathers 2002; Bada & Deems 1975)",,MIS 4/5,Tooth | Molars | Partial left mandible with Lm1-m3,Tooth,Molars,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
RmA022,CGG_1_025871,1 16/17 42803,113,SAMC:Archaeology:1-16/17-42803:CGG_1_025871,https://www.gbif.org/occurrence/4947704543,https://www.morphosource.org/concern/biological_specimens/000813341,Phase 2,No,not applicable,No,Raphicerus melanotis,not applicable,Raphicerus melanotis,Cape grysbok,Raphicerus melanotis,Cape grysbok,Klasies River Mouth ,KRM,1 16/17,South Africa: Eastern Cape Province,-34.108103,24.390139,60800,BP,113000,BP,associated absolute dating,"OSL/TL of Layer 16 and U-series & ESR (MC-ICPMS) of Layer 17. lower bound is OSL/TL estimate of Layer 16. Upper bound is most reliable estimate for Layer 17, SAS U-L, Middle Stone Age II. (Grine et al 2017; Feathers 2002; Eggins et al 2005)",,MIS 4/5,"Tooth | Premolar+molar | Partial right mandible with Rp4,Rm2",Tooth,Premolar+molar,not applicable,not applicable,https://doi.org/10.1016/j.jhevol.2016.12.001; https://link.springer.com/article/10.1007/s41982-022-00110-2; https://doi.org/10.17159/sajs.2016/20160051; https://doi.org/10.1016/j.jhevol.2006.06.003; https://doi.org/10.2307/3887730; https://doi.org/10.1016/j.jhevol.2016.12.001,Eastern Cape,South Africa,Iziko Museums of South Africa,21081119SB0813E,Heritage Western Cape (HWC),20048,3884,South African Heritage Resources Agency (SAHRA),PalaeoBovids,Palaeogenomes of a lost world: Ancient bovids of the submerged Palaeo-Agulhas Plain of southern Africa,101026951,H2020-MSCA-IF-2020,
