# table produced by DamageProfiler
# using mapped file PaA015.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA015.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	229
+	31	202
+	32	199
+	33	218
+	34	248
+	35	199
+	36	215
+	37	193
+	38	188
+	39	195
+	40	172
+	41	177
+	42	138
+	43	114
+	44	142
+	45	127
+	46	118
+	47	89
+	48	90
+	49	70
+	50	74
+	51	66
+	52	69
+	53	74
+	54	61
+	55	58
+	56	55
+	57	58
+	58	46
+	59	32
+	60	32
+	61	36
+	62	15
+	63	21
+	64	28
+	65	15
+	66	20
+	67	22
+	68	17
+	69	29
+	70	15
+	71	16
+	72	16
+	73	13
+	74	5
+	75	6
+	76	6
+	77	5
+	78	13
+	79	4
+	80	6
+	81	6
+	82	6
+	83	1
+	84	2
+	85	4
+	86	4
+	87	1
+	88	2
+	89	2
+	90	1
+	91	3
-	30	215
-	31	228
-	32	221
-	33	211
-	34	215
-	35	231
-	36	179
-	37	206
-	38	193
-	39	172
-	40	159
-	41	155
-	42	150
-	43	124
-	44	137
-	45	130
-	46	100
-	47	98
-	48	85
-	49	91
-	50	87
-	51	77
-	52	62
-	53	55
-	54	73
-	55	52
-	56	50
-	57	30
-	58	40
-	59	43
-	60	41
-	61	34
-	62	30
-	63	26
-	64	31
-	65	19
-	66	23
-	67	17
-	68	15
-	69	16
-	70	18
-	71	13
-	72	10
-	73	7
-	74	6
-	75	7
-	76	4
-	77	7
-	78	4
-	79	6
-	80	3
-	81	5
-	82	9
-	83	1
-	84	3
-	85	6
-	86	1
-	87	1
-	88	1
-	89	2
-	90	1
-	91	3
