# table produced by DamageProfiler
# using mapped file RmA041.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA041.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	175
+	31	99
+	32	66
+	33	59
+	34	31
+	35	43
+	36	47
+	37	44
+	38	36
+	39	40
+	40	61
+	41	58
+	42	37
+	43	43
+	44	53
+	45	44
+	46	47
+	47	59
+	48	41
+	49	50
+	50	38
+	51	43
+	52	45
+	53	45
+	54	40
+	55	28
+	56	38
+	57	35
+	58	26
+	59	31
+	60	18
+	61	34
+	62	27
+	63	30
+	64	29
+	65	22
+	66	23
+	67	24
+	68	25
+	69	21
+	70	19
+	71	15
+	72	13
+	73	9
+	74	19
+	75	15
+	76	16
+	77	9
+	78	8
+	79	10
+	80	19
+	81	10
+	82	12
+	83	10
+	84	12
+	85	13
+	86	6
+	87	3
+	88	7
+	89	5
+	90	1
+	91	7
-	30	154
-	31	90
-	32	61
-	33	51
-	34	45
-	35	65
-	36	36
-	37	47
-	38	53
-	39	40
-	40	54
-	41	60
-	42	52
-	43	54
-	44	41
-	45	57
-	46	54
-	47	45
-	48	46
-	49	49
-	50	42
-	51	46
-	52	48
-	53	37
-	54	28
-	55	34
-	56	39
-	57	23
-	58	31
-	59	46
-	60	26
-	61	20
-	62	34
-	63	32
-	64	25
-	65	27
-	66	20
-	67	27
-	68	16
-	69	22
-	70	12
-	71	17
-	72	27
-	73	17
-	74	25
-	75	11
-	76	21
-	77	13
-	78	6
-	79	13
-	80	9
-	81	9
-	82	13
-	83	17
-	84	12
-	85	9
-	86	8
-	87	8
-	88	6
-	89	5
-	90	8
-	91	8
