# table produced by DamageProfiler
# using mapped file ToA031.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA031.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	9027
+	31	8791
+	32	8654
+	33	8379
+	34	8116
+	35	7681
+	36	7224
+	37	6759
+	38	6269
+	39	5812
+	40	5314
+	41	4964
+	42	4524
+	43	4214
+	44	3810
+	45	3475
+	46	3020
+	47	2731
+	48	2327
+	49	2193
+	50	1870
+	51	1754
+	52	1553
+	53	1395
+	54	1247
+	55	1044
+	56	923
+	57	878
+	58	733
+	59	625
+	60	547
+	61	494
+	62	445
+	63	359
+	64	340
+	65	303
+	66	239
+	67	207
+	68	206
+	69	160
+	70	122
+	71	128
+	72	107
+	73	88
+	74	92
+	75	63
+	76	60
+	77	58
+	78	47
+	79	33
+	80	32
+	81	33
+	82	18
+	83	25
+	84	22
+	85	22
+	86	25
+	87	18
+	88	14
+	89	12
+	90	7
+	91	11
-	30	9169
-	31	8824
-	32	8492
-	33	8546
-	34	7947
-	35	7620
-	36	7091
-	37	6799
-	38	6306
-	39	5700
-	40	5283
-	41	4944
-	42	4610
-	43	4058
-	44	3638
-	45	3347
-	46	2990
-	47	2793
-	48	2448
-	49	2219
-	50	1920
-	51	1725
-	52	1510
-	53	1360
-	54	1230
-	55	1054
-	56	922
-	57	791
-	58	756
-	59	607
-	60	562
-	61	492
-	62	429
-	63	358
-	64	342
-	65	291
-	66	259
-	67	250
-	68	185
-	69	176
-	70	145
-	71	120
-	72	106
-	73	94
-	74	76
-	75	62
-	76	49
-	77	58
-	78	48
-	79	34
-	80	37
-	81	39
-	82	21
-	83	33
-	84	17
-	85	18
-	86	15
-	87	16
-	88	17
-	89	17
-	90	7
-	91	9
