# table produced by DamageProfiler
# using mapped file PcA022.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA022.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	292
+	31	116
+	32	65
+	33	24
+	34	29
+	35	25
+	36	17
+	37	19
+	38	23
+	39	26
+	40	23
+	41	25
+	42	23
+	43	21
+	44	18
+	45	27
+	46	20
+	47	14
+	48	21
+	49	16
+	50	22
+	51	19
+	52	20
+	53	11
+	54	21
+	55	11
+	56	19
+	57	23
+	58	8
+	59	9
+	60	9
+	61	11
+	62	9
+	63	10
+	64	14
+	65	8
+	66	14
+	67	6
+	68	6
+	69	6
+	70	6
+	71	5
+	72	3
+	73	4
+	74	3
+	75	2
+	76	8
+	77	1
+	78	9
+	79	3
+	80	4
+	81	7
+	82	3
+	83	3
+	84	1
+	85	4
+	86	1
+	87	4
+	89	2
+	90	2
+	91	1
-	30	286
-	31	105
-	32	73
-	33	34
-	34	26
-	35	19
-	36	23
-	37	18
-	38	18
-	39	12
-	40	15
-	41	17
-	42	17
-	43	31
-	44	14
-	45	26
-	46	16
-	47	21
-	48	7
-	49	19
-	50	18
-	51	24
-	52	17
-	53	16
-	54	9
-	55	8
-	56	8
-	57	15
-	58	9
-	59	8
-	60	6
-	61	11
-	62	9
-	63	5
-	64	9
-	65	7
-	66	4
-	67	6
-	68	2
-	69	3
-	70	6
-	71	5
-	72	2
-	73	3
-	74	3
-	75	5
-	76	3
-	77	3
-	79	2
-	80	3
-	82	1
-	83	3
-	84	3
-	86	1
-	87	4
-	88	1
-	89	2
-	91	6
