# table produced by DamageProfiler
# using mapped file RmA003.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA003.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	2701
+	31	2615
+	32	2548
+	33	2571
+	34	2613
+	35	2613
+	36	2617
+	37	2585
+	38	2566
+	39	2505
+	40	2457
+	41	2397
+	42	2376
+	43	2264
+	44	2178
+	45	2138
+	46	2020
+	47	1989
+	48	1935
+	49	1816
+	50	1710
+	51	1597
+	52	1519
+	53	1396
+	54	1354
+	55	1231
+	56	1212
+	57	1039
+	58	1009
+	59	886
+	60	897
+	61	810
+	62	739
+	63	718
+	64	628
+	65	587
+	66	582
+	67	535
+	68	448
+	69	399
+	70	409
+	71	364
+	72	317
+	73	305
+	74	275
+	75	240
+	76	264
+	77	210
+	78	203
+	79	215
+	80	181
+	81	146
+	82	159
+	83	145
+	84	134
+	85	125
+	86	105
+	87	106
+	88	94
+	89	90
+	90	85
+	91	63
+	92	52
+	93	79
+	94	68
+	95	55
+	96	50
+	97	47
+	98	37
+	99	47
+	100	34
+	101	18
+	102	34
+	103	24
+	104	23
+	105	27
+	106	31
+	107	15
+	108	17
+	109	17
+	110	21
+	111	20
+	112	13
+	113	15
+	114	13
+	115	14
+	116	12
+	117	7
+	118	4
+	119	6
+	120	7
+	121	2
+	122	8
+	123	8
+	124	6
+	125	6
+	126	6
+	127	2
+	128	4
+	129	6
+	130	3
+	131	1
+	132	5
+	133	3
+	134	1
+	135	2
+	136	5
+	137	1
+	138	3
+	139	3
+	140	2
+	141	2
+	142	2
+	143	1
+	144	3
+	145	2
+	146	1
+	147	1
+	149	1
+	150	2
+	151	1
+	152	1
+	154	1
+	155	1
+	157	2
+	159	1
+	171	1
+	173	1
+	180	1
+	184	1
+	186	1
+	190	1
+	196	1
+	223	1
+	230	1
+	245	1
+	249	1
+	263	1
+	274	1
-	30	2776
-	31	2633
-	32	2551
-	33	2538
-	34	2608
-	35	2561
-	36	2621
-	37	2561
-	38	2529
-	39	2614
-	40	2471
-	41	2487
-	42	2473
-	43	2392
-	44	2259
-	45	2139
-	46	1998
-	47	1945
-	48	1865
-	49	1765
-	50	1677
-	51	1558
-	52	1504
-	53	1417
-	54	1343
-	55	1279
-	56	1183
-	57	1103
-	58	1017
-	59	959
-	60	887
-	61	835
-	62	748
-	63	729
-	64	634
-	65	602
-	66	565
-	67	482
-	68	504
-	69	448
-	70	377
-	71	417
-	72	347
-	73	314
-	74	296
-	75	261
-	76	264
-	77	241
-	78	201
-	79	183
-	80	183
-	81	173
-	82	166
-	83	151
-	84	123
-	85	115
-	86	110
-	87	95
-	88	108
-	89	72
-	90	82
-	91	66
-	92	57
-	93	59
-	94	50
-	95	58
-	96	56
-	97	43
-	98	38
-	99	46
-	100	32
-	101	38
-	102	34
-	103	31
-	104	41
-	105	31
-	106	25
-	107	21
-	108	18
-	109	22
-	110	17
-	111	13
-	112	13
-	113	17
-	114	16
-	115	8
-	116	10
-	117	9
-	118	8
-	119	7
-	120	7
-	121	6
-	122	6
-	123	8
-	124	3
-	125	5
-	126	5
-	127	4
-	128	3
-	129	4
-	130	4
-	131	1
-	132	3
-	133	4
-	134	1
-	135	3
-	136	3
-	137	2
-	139	2
-	141	2
-	142	2
-	143	3
-	144	6
-	145	3
-	146	1
-	147	1
-	148	1
-	149	3
-	151	2
-	152	1
-	155	4
-	156	2
-	157	1
-	158	1
-	159	2
-	162	4
-	163	1
-	164	1
-	167	1
-	168	1
-	171	1
-	175	1
-	180	1
-	181	1
-	186	1
-	191	1
-	193	1
-	197	1
-	198	1
-	204	1
-	211	1
-	218	1
-	220	1
-	228	1
-	231	1
-	235	1
-	239	1
-	248	1
