# table produced by DamageProfiler
# using mapped file RmA031.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA031.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	651
+	31	619
+	32	553
+	33	571
+	34	503
+	35	495
+	36	504
+	37	506
+	38	465
+	39	458
+	40	424
+	41	413
+	42	373
+	43	358
+	44	349
+	45	340
+	46	325
+	47	294
+	48	275
+	49	314
+	50	289
+	51	242
+	52	258
+	53	231
+	54	218
+	55	219
+	56	245
+	57	183
+	58	220
+	59	181
+	60	191
+	61	168
+	62	174
+	63	145
+	64	137
+	65	129
+	66	152
+	67	143
+	68	125
+	69	141
+	70	120
+	71	120
+	72	109
+	73	110
+	74	109
+	75	97
+	76	105
+	77	81
+	78	102
+	79	76
+	80	84
+	81	84
+	82	68
+	83	75
+	84	72
+	85	74
+	86	64
+	87	65
+	88	66
+	89	66
+	90	55
+	91	56
-	30	622
-	31	583
-	32	562
-	33	539
-	34	506
-	35	558
-	36	464
-	37	505
-	38	493
-	39	429
-	40	422
-	41	419
-	42	388
-	43	345
-	44	339
-	45	337
-	46	322
-	47	318
-	48	311
-	49	286
-	50	266
-	51	298
-	52	234
-	53	245
-	54	216
-	55	193
-	56	207
-	57	204
-	58	198
-	59	207
-	60	161
-	61	165
-	62	173
-	63	163
-	64	156
-	65	154
-	66	129
-	67	149
-	68	124
-	69	118
-	70	115
-	71	129
-	72	119
-	73	118
-	74	107
-	75	109
-	76	95
-	77	88
-	78	107
-	79	82
-	80	87
-	81	84
-	82	87
-	83	81
-	84	83
-	85	79
-	86	71
-	87	63
-	88	59
-	89	73
-	90	59
-	91	53
