# table produced by DamageProfiler
# using mapped file RxA003.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA003.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	273
+	31	118
+	32	52
+	33	22
+	34	18
+	35	15
+	36	11
+	37	6
+	38	8
+	39	7
+	40	8
+	41	8
+	42	11
+	43	5
+	44	4
+	45	6
+	46	1
+	47	5
+	48	6
+	49	2
+	50	2
+	51	2
+	52	5
+	53	2
+	54	1
+	55	3
+	56	3
+	57	3
+	58	2
+	59	3
+	60	1
+	61	3
+	62	1
+	63	1
+	65	2
+	68	1
+	69	1
+	72	2
+	78	2
+	79	1
+	91	1
-	30	278
-	31	118
-	32	55
-	33	19
-	34	17
-	35	10
-	36	19
-	37	8
-	38	11
-	39	2
-	40	8
-	41	6
-	42	6
-	43	4
-	44	8
-	45	7
-	46	4
-	47	3
-	48	4
-	49	5
-	50	4
-	51	4
-	52	5
-	53	1
-	54	2
-	55	1
-	56	2
-	57	1
-	58	2
-	59	4
-	61	2
-	62	2
-	64	3
-	65	1
-	66	2
-	67	1
-	68	1
-	71	1
-	76	1
-	91	1
-	96	1
-	137	1
-	165	1
