# table produced by DamageProfiler
# using mapped file PaA011.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA011.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.01098901098901099
2	0.011363636363636364
3	0.0
4	0.010638297872340425
5	0.03125
6	0.012195121951219513
7	0.011904761904761904
8	0.04225352112676056
9	0.03488372093023256
10	0.0
11	0.0273972602739726
12	0.037037037037037035
13	0.011627906976744186
14	0.011904761904761904
15	0.029411764705882353
16	0.012195121951219513
17	0.037037037037037035
18	0.0
19	0.0
20	0.0
21	0.02197802197802198
22	0.011764705882352941
23	0.011627906976744186
24	0.02197802197802198
25	0.0273972602739726
