# table produced by DamageProfiler
# using mapped file RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
# Sample ID: RxA007.ReedbuckBh_Human_nc.Target.rmdup.noMicro_BEST_012.bam
pos	5pC>T
1	0.02910529786766322
2	0.02974113235064326
3	0.019181406636486677
4	0.02058590657165479
5	0.02289639381797367
6	0.02186154355746936
7	0.01922231985940246
8	0.017989690721649486
9	0.017645815722738798
10	0.019363988436153383
11	0.016525120229202907
12	0.014838476995208408
13	0.016216216216216217
14	0.017112632233976355
15	0.015184381778741865
16	0.014280595792598659
17	0.015305858627643621
18	0.014380474960757507
19	0.016110179397265844
20	0.013561230233867254
21	0.014271928487988217
22	0.013848582047757243
23	0.01429962585208344
24	0.015415140415140416
25	0.015017890439953637
