# table produced by DamageProfiler
# using mapped file ScA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.008676789587852495
2	0.00975609756097561
3	0.007889546351084813
4	0.009689922480620155
5	0.014423076923076924
6	0.006993006993006993
7	0.011627906976744186
8	0.017278617710583154
9	0.014957264957264958
10	0.023706896551724137
11	0.013888888888888888
12	0.010615711252653927
13	0.015765765765765764
14	0.008547008547008548
15	0.01327433628318584
16	0.00881057268722467
17	0.00641025641025641
18	0.009174311926605505
19	0.011160714285714286
20	0.023706896551724137
21	0.008547008547008548
22	0.009174311926605505
23	0.00936768149882904
24	0.015053763440860216
25	0.004219409282700422
