# table produced by DamageProfiler
# using mapped file ToA002.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA002.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	202
+	31	98
+	32	57
+	33	25
+	34	16
+	35	16
+	36	14
+	37	4
+	38	9
+	39	11
+	40	7
+	41	12
+	42	10
+	43	13
+	44	12
+	45	11
+	46	7
+	47	14
+	48	5
+	49	3
+	50	2
+	51	3
+	52	3
+	53	4
+	54	4
+	55	8
+	56	4
+	57	2
+	58	1
+	59	2
+	61	4
+	62	4
+	63	1
+	64	2
+	65	1
+	66	2
+	67	2
+	68	1
+	71	2
+	72	2
+	73	1
+	75	1
+	76	1
+	78	1
+	84	1
+	87	1
+	88	1
+	114	1
-	30	225
-	31	91
-	32	54
-	33	26
-	34	18
-	35	19
-	36	17
-	37	10
-	38	11
-	39	16
-	40	15
-	41	9
-	42	18
-	43	10
-	44	11
-	45	6
-	46	11
-	47	6
-	48	2
-	49	9
-	50	7
-	51	8
-	52	4
-	53	2
-	54	1
-	55	7
-	56	4
-	57	2
-	58	4
-	59	3
-	60	3
-	62	4
-	64	2
-	65	2
-	67	1
-	68	1
-	69	1
-	71	2
-	72	1
-	73	1
-	74	1
-	77	1
-	80	1
-	83	1
-	85	1
-	87	1
-	91	1
-	100	1
-	117	1
