# table produced by DamageProfiler
# using mapped file RmA030.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RmA030.GrysbokCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	1527
+	31	1492
+	32	1397
+	33	1408
+	34	1341
+	35	1288
+	36	1324
+	37	1212
+	38	1130
+	39	1090
+	40	1066
+	41	914
+	42	904
+	43	837
+	44	782
+	45	757
+	46	721
+	47	674
+	48	646
+	49	612
+	50	581
+	51	563
+	52	448
+	53	464
+	54	397
+	55	416
+	56	393
+	57	362
+	58	324
+	59	310
+	60	294
+	61	270
+	62	258
+	63	255
+	64	224
+	65	202
+	66	177
+	67	176
+	68	185
+	69	180
+	70	155
+	71	180
+	72	169
+	73	132
+	74	139
+	75	127
+	76	128
+	77	123
+	78	109
+	79	108
+	80	112
+	81	78
+	82	74
+	83	84
+	84	99
+	85	75
+	86	67
+	87	70
+	88	57
+	89	72
+	90	62
+	91	48
-	30	1523
-	31	1503
-	32	1411
-	33	1450
-	34	1279
-	35	1271
-	36	1244
-	37	1191
-	38	1082
-	39	1015
-	40	999
-	41	970
-	42	924
-	43	860
-	44	822
-	45	785
-	46	738
-	47	667
-	48	601
-	49	554
-	50	549
-	51	488
-	52	508
-	53	459
-	54	425
-	55	395
-	56	374
-	57	367
-	58	345
-	59	314
-	60	303
-	61	292
-	62	279
-	63	247
-	64	240
-	65	223
-	66	222
-	67	207
-	68	169
-	69	147
-	70	155
-	71	164
-	72	142
-	73	133
-	74	131
-	75	108
-	76	120
-	77	115
-	78	92
-	79	106
-	80	91
-	81	94
-	82	70
-	83	79
-	84	90
-	85	90
-	86	83
-	87	65
-	88	67
-	89	56
-	90	49
-	91	59
