# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_004.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_004.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	468
+	31	197
+	32	83
+	33	38
+	34	13
+	35	19
+	36	7
+	37	4
+	38	5
+	39	3
+	40	2
+	41	4
+	42	3
+	43	3
+	44	4
+	45	2
+	46	1
+	47	4
+	49	1
+	50	2
+	51	2
+	53	3
+	54	3
+	55	1
+	56	2
+	57	2
+	58	1
+	59	1
+	60	1
+	62	3
+	64	1
+	65	5
+	67	2
+	69	2
+	74	1
+	77	1
+	78	1
+	84	1
+	107	1
+	120	1
+	121	1
+	130	1
+	154	1
+	184	1
-	30	452
-	31	202
-	32	92
-	33	36
-	34	15
-	35	15
-	36	5
-	37	12
-	38	7
-	39	5
-	40	4
-	41	1
-	42	4
-	43	3
-	44	3
-	45	4
-	46	1
-	49	3
-	50	1
-	53	1
-	55	3
-	58	3
-	62	1
-	63	2
-	64	3
-	67	1
-	71	1
-	75	1
-	79	1
-	82	1
-	83	1
-	88	1
-	90	1
-	94	1
-	96	1
-	112	1
-	122	1
-	125	1
-	175	1
