# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_004.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_004.bam
pos	3pG>A
1	0.02888086642599278
2	0.027874564459930314
3	0.03058103975535168
4	0.02962962962962963
5	0.03436426116838488
6	0.05211726384364821
7	0.06506849315068493
8	0.050724637681159424
9	0.046357615894039736
10	0.023890784982935155
11	0.019230769230769232
12	0.024390243902439025
13	0.02476780185758514
14	0.034129692832764506
15	0.031578947368421054
16	0.054474708171206226
17	0.016891891891891893
18	0.022653721682847898
19	0.03559870550161812
20	0.021052631578947368
21	0.02912621359223301
22	0.026845637583892617
23	0.028070175438596492
24	0.03754266211604096
25	0.01935483870967742
