# table produced by DamageProfiler
# using mapped file RxA002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA002.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	202
+	31	153
+	32	123
+	33	108
+	34	122
+	35	121
+	36	113
+	37	100
+	38	99
+	39	101
+	40	90
+	41	95
+	42	92
+	43	99
+	44	65
+	45	82
+	46	92
+	47	90
+	48	71
+	49	75
+	50	68
+	51	59
+	52	52
+	53	61
+	54	55
+	55	56
+	56	52
+	57	32
+	58	36
+	59	35
+	60	32
+	61	30
+	62	24
+	63	20
+	64	20
+	65	15
+	66	17
+	67	16
+	68	19
+	69	15
+	70	11
+	71	14
+	72	9
+	73	7
+	74	5
+	75	11
+	76	9
+	77	5
+	78	4
+	79	3
+	80	6
+	81	4
+	82	5
+	83	1
+	84	4
+	85	6
+	86	7
+	87	1
+	88	3
+	89	3
+	90	3
+	91	2
+	92	2
+	93	2
+	94	4
+	95	2
+	96	2
+	97	2
+	99	1
+	100	1
+	102	1
+	103	1
+	104	1
+	106	1
+	107	1
+	108	1
+	110	1
+	112	2
+	113	1
+	114	1
+	117	1
+	120	1
+	121	1
+	129	1
+	133	2
+	137	1
+	139	1
-	30	214
-	31	138
-	32	117
-	33	124
-	34	110
-	35	97
-	36	114
-	37	109
-	38	122
-	39	99
-	40	102
-	41	115
-	42	111
-	43	105
-	44	88
-	45	80
-	46	96
-	47	74
-	48	73
-	49	88
-	50	89
-	51	50
-	52	70
-	53	62
-	54	50
-	55	53
-	56	39
-	57	43
-	58	32
-	59	28
-	60	41
-	61	31
-	62	26
-	63	22
-	64	26
-	65	24
-	66	22
-	67	16
-	68	17
-	69	17
-	70	19
-	71	10
-	72	8
-	73	11
-	74	8
-	75	9
-	76	9
-	77	6
-	78	7
-	79	5
-	80	5
-	81	4
-	82	2
-	83	4
-	84	4
-	85	3
-	86	2
-	87	2
-	88	2
-	89	1
-	90	3
-	91	3
-	93	1
-	95	3
-	97	2
-	98	2
-	99	1
-	101	3
-	102	2
-	103	2
-	104	1
-	107	1
-	121	1
-	123	1
-	127	1
-	131	1
-	141	1
-	170	1
