# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	213
+	31	94
+	32	33
+	33	21
+	34	9
+	35	7
+	36	3
+	37	1
+	38	3
+	39	2
+	41	2
+	43	3
+	45	2
+	46	1
+	47	2
+	50	2
+	53	1
+	55	1
+	56	1
+	60	1
+	63	1
+	67	1
+	69	1
+	77	1
+	83	1
+	89	1
+	90	1
+	104	1
+	115	1
+	116	1
+	126	2
+	143	1
+	177	1
+	184	1
+	198	1
-	30	236
-	31	84
-	32	37
-	33	19
-	34	4
-	35	2
-	36	4
-	37	3
-	38	4
-	39	3
-	42	2
-	43	4
-	44	3
-	45	2
-	46	2
-	47	1
-	49	1
-	50	2
-	51	1
-	52	3
-	55	1
-	57	1
-	60	2
-	63	4
-	64	2
-	67	1
-	68	1
-	77	1
-	78	1
-	80	1
-	81	1
-	83	1
-	84	1
-	86	1
-	87	2
-	92	1
-	96	1
-	97	1
-	98	1
-	114	1
-	117	1
-	123	1
-	124	1
-	128	1
-	143	1
-	144	1
-	151	1
-	156	1
-	193	1
