# table produced by DamageProfiler
# using mapped file ToA035.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA035.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	118
+	31	50
+	32	24
+	33	7
+	34	4
+	35	3
+	37	3
+	38	2
+	40	1
+	41	2
+	42	4
+	43	1
+	44	1
+	45	1
+	46	2
+	47	2
+	48	1
+	49	2
+	50	1
+	55	1
+	56	1
+	57	1
+	58	2
+	62	1
+	69	1
+	70	1
+	71	1
+	76	1
+	78	1
-	30	122
-	31	47
-	32	17
-	33	7
-	34	6
-	35	6
-	36	5
-	37	2
-	38	3
-	39	4
-	40	1
-	41	4
-	42	5
-	43	1
-	44	4
-	45	2
-	46	1
-	47	1
-	49	2
-	50	1
-	51	1
-	53	2
-	54	1
-	61	1
-	63	1
-	65	1
-	67	1
-	71	2
-	75	1
-	79	1
-	84	1
