# table produced by DamageProfiler
# using mapped file ScA033.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA033.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	593
+	31	574
+	32	499
+	33	520
+	34	543
+	35	491
+	36	524
+	37	481
+	38	506
+	39	532
+	40	510
+	41	438
+	42	470
+	43	466
+	44	431
+	45	439
+	46	401
+	47	375
+	48	409
+	49	383
+	50	331
+	51	351
+	52	315
+	53	325
+	54	280
+	55	285
+	56	262
+	57	260
+	58	213
+	59	229
+	60	223
+	61	211
+	62	209
+	63	205
+	64	182
+	65	168
+	66	172
+	67	170
+	68	162
+	69	148
+	70	144
+	71	134
+	72	131
+	73	118
+	74	130
+	75	98
+	76	116
+	77	91
+	78	91
+	79	76
+	80	75
+	81	85
+	82	90
+	83	73
+	84	82
+	85	63
+	86	65
+	87	69
+	88	71
+	89	47
+	90	48
+	91	52
-	30	607
-	31	541
-	32	532
-	33	539
-	34	522
-	35	549
-	36	520
-	37	528
-	38	502
-	39	486
-	40	507
-	41	459
-	42	460
-	43	457
-	44	468
-	45	418
-	46	392
-	47	384
-	48	372
-	49	336
-	50	369
-	51	328
-	52	330
-	53	297
-	54	294
-	55	292
-	56	253
-	57	247
-	58	220
-	59	210
-	60	209
-	61	210
-	62	183
-	63	202
-	64	171
-	65	177
-	66	142
-	67	144
-	68	137
-	69	154
-	70	127
-	71	127
-	72	142
-	73	103
-	74	121
-	75	105
-	76	95
-	77	86
-	78	84
-	79	76
-	80	95
-	81	81
-	82	69
-	83	63
-	84	81
-	85	78
-	86	48
-	87	64
-	88	60
-	89	52
-	90	48
-	91	42
