# table produced by DamageProfiler
# using mapped file PaA019.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA019.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	171
+	31	124
+	32	99
+	33	81
+	34	76
+	35	78
+	36	58
+	37	66
+	38	69
+	39	86
+	40	56
+	41	58
+	42	44
+	43	53
+	44	44
+	45	36
+	46	42
+	47	37
+	48	22
+	49	30
+	50	26
+	51	14
+	52	17
+	53	15
+	54	11
+	55	13
+	56	15
+	57	12
+	58	8
+	59	11
+	60	13
+	61	8
+	62	5
+	63	13
+	64	8
+	65	5
+	66	4
+	67	4
+	68	4
+	69	4
+	70	7
+	71	7
+	72	4
+	73	3
+	74	4
+	75	2
+	76	1
+	77	1
+	78	3
-	30	154
-	31	123
-	32	103
-	33	71
-	34	73
-	35	79
-	36	72
-	37	72
-	38	64
-	39	68
-	40	62
-	41	62
-	42	48
-	43	46
-	44	46
-	45	39
-	46	31
-	47	30
-	48	30
-	49	29
-	50	26
-	51	30
-	52	19
-	53	16
-	54	15
-	55	13
-	56	14
-	57	8
-	58	9
-	59	13
-	60	10
-	61	8
-	62	7
-	63	7
-	64	9
-	65	9
-	66	3
-	67	3
-	68	2
-	69	9
-	70	4
-	71	3
-	72	3
-	73	2
-	74	2
-	75	4
-	76	1
-	78	1
-	80	2
-	81	1
-	83	2
-	84	1
-	86	1
-	88	1
-	91	1
