# table produced by DamageProfiler
# using mapped file PcA026.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PcA026.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	409
+	31	383
+	32	356
+	33	384
+	34	371
+	35	392
+	36	407
+	37	419
+	38	371
+	39	388
+	40	435
+	41	407
+	42	403
+	43	387
+	44	371
+	45	356
+	46	397
+	47	333
+	48	315
+	49	312
+	50	325
+	51	340
+	52	241
+	53	280
+	54	263
+	55	268
+	56	222
+	57	235
+	58	194
+	59	188
+	60	167
+	61	169
+	62	158
+	63	164
+	64	172
+	65	162
+	66	154
+	67	121
+	68	124
+	69	118
+	70	118
+	71	87
+	72	97
+	73	99
+	74	65
+	75	67
+	76	75
+	77	58
+	78	83
+	79	57
+	80	70
+	81	55
+	82	61
+	83	73
+	84	41
+	85	42
+	86	41
+	87	37
+	88	36
+	89	46
+	90	32
+	91	26
-	30	410
-	31	384
-	32	381
-	33	365
-	34	385
-	35	421
-	36	388
-	37	415
-	38	384
-	39	407
-	40	407
-	41	413
-	42	435
-	43	377
-	44	363
-	45	410
-	46	359
-	47	373
-	48	358
-	49	322
-	50	302
-	51	306
-	52	291
-	53	294
-	54	242
-	55	239
-	56	224
-	57	209
-	58	220
-	59	220
-	60	197
-	61	165
-	62	199
-	63	163
-	64	168
-	65	143
-	66	136
-	67	120
-	68	132
-	69	122
-	70	118
-	71	106
-	72	93
-	73	82
-	74	70
-	75	86
-	76	64
-	77	70
-	78	71
-	79	78
-	80	68
-	81	71
-	82	37
-	83	44
-	84	34
-	85	53
-	86	48
-	87	35
-	88	36
-	89	32
-	90	32
-	91	13
