# table produced by DamageProfiler
# using mapped file PaA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA009.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	23
+	31	19
+	32	9
+	33	11
+	34	11
+	35	15
+	36	11
+	37	13
+	38	7
+	39	18
+	40	14
+	41	18
+	42	15
+	43	20
+	44	20
+	45	15
+	46	18
+	47	11
+	48	13
+	49	12
+	50	14
+	51	21
+	52	10
+	53	12
+	54	16
+	55	13
+	56	11
+	57	13
+	58	16
+	59	13
+	60	13
+	61	12
+	62	7
+	63	8
+	64	4
+	65	13
+	66	10
+	67	10
+	68	6
+	69	9
+	70	7
+	71	9
+	72	5
+	73	9
+	74	11
+	75	7
+	76	5
+	77	2
+	78	3
+	79	3
+	80	4
+	81	2
+	82	6
+	83	5
+	84	3
+	86	3
+	87	1
+	88	7
+	89	2
+	90	2
+	91	6
+	92	5
+	93	5
+	94	3
+	95	1
+	96	1
+	97	4
+	98	3
+	99	2
+	100	3
+	101	3
+	103	1
+	106	2
+	108	3
+	110	2
+	111	2
+	112	1
+	113	1
+	114	4
+	116	1
+	117	2
+	121	2
+	124	1
+	125	1
+	127	1
+	128	1
+	129	1
+	131	1
+	134	1
+	136	2
+	139	1
+	147	1
+	152	1
+	157	1
+	161	1
+	163	1
+	164	1
+	168	1
-	30	15
-	31	27
-	32	10
-	33	8
-	34	12
-	35	18
-	36	9
-	37	17
-	38	10
-	39	10
-	40	17
-	41	4
-	42	18
-	43	15
-	44	11
-	45	20
-	46	21
-	47	12
-	48	11
-	49	18
-	50	11
-	51	16
-	52	13
-	53	10
-	54	19
-	55	15
-	56	14
-	57	14
-	58	8
-	59	12
-	60	13
-	61	13
-	62	13
-	63	7
-	64	20
-	65	8
-	66	8
-	67	9
-	68	10
-	69	8
-	70	8
-	71	9
-	72	13
-	73	8
-	74	3
-	75	7
-	76	4
-	77	9
-	78	3
-	79	6
-	80	4
-	81	3
-	82	3
-	83	8
-	84	5
-	85	9
-	86	4
-	87	3
-	88	5
-	89	2
-	90	4
-	91	2
-	92	2
-	93	4
-	94	1
-	95	3
-	96	3
-	97	2
-	98	1
-	99	2
-	100	2
-	101	2
-	102	1
-	103	1
-	104	3
-	105	2
-	109	1
-	110	3
-	111	1
-	112	1
-	113	2
-	114	1
-	116	4
-	118	2
-	119	1
-	120	1
-	122	1
-	123	3
-	129	1
-	130	1
-	131	1
-	137	1
-	138	1
-	146	1
-	147	1
-	148	1
-	159	1
-	172	1
-	187	1
