# table produced by DamageProfiler
# using mapped file ToA034.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA034.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	18
+	31	7
+	32	4
+	37	1
+	42	2
+	46	1
+	48	3
+	49	1
+	51	1
+	52	1
+	53	3
+	54	1
+	56	1
+	58	1
+	59	3
+	61	1
+	62	1
+	64	1
+	68	1
+	69	1
+	70	1
+	72	1
+	77	2
+	80	1
+	83	3
+	87	1
+	90	2
-	30	23
-	31	6
-	32	4
-	33	2
-	34	1
-	36	1
-	39	1
-	41	2
-	43	1
-	46	2
-	47	4
-	48	1
-	51	1
-	54	2
-	55	2
-	56	1
-	57	3
-	59	1
-	61	1
-	66	1
-	67	1
-	68	2
-	71	1
-	74	1
-	75	1
-	77	1
-	79	1
-	82	3
-	86	2
-	87	1
