# table produced by DamageProfiler
# using mapped file PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_003.bam
# Sample ID: PaA004.BuffaloCape_Human_nc.Target.rmdup.noMicro_SCR_003.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	339
+	31	142
+	32	59
+	33	32
+	34	34
+	35	21
+	36	4
+	37	11
+	38	11
+	39	8
+	40	19
+	41	11
+	42	15
+	43	13
+	44	10
+	45	12
+	46	11
+	47	13
+	48	19
+	49	17
+	50	6
+	51	12
+	52	11
+	53	15
+	54	14
+	55	9
+	56	12
+	57	11
+	58	9
+	59	14
+	60	11
+	61	11
+	62	8
+	63	14
+	64	13
+	65	5
+	66	11
+	67	11
+	68	3
+	69	11
+	70	9
+	71	2
+	72	5
+	73	10
+	74	8
+	75	8
+	76	14
+	77	9
+	78	8
+	79	9
+	80	10
+	81	8
+	82	5
+	83	5
+	84	6
+	85	9
+	86	4
+	87	9
+	88	3
+	89	3
+	90	8
+	91	4
+	92	8
+	93	5
+	94	3
+	95	4
+	96	8
+	97	5
+	98	6
+	99	1
+	100	6
+	101	1
+	102	2
+	103	3
+	104	4
+	105	4
+	106	1
+	107	5
+	108	6
+	109	3
+	110	1
+	111	7
+	112	1
+	113	2
+	114	4
+	115	4
+	116	1
+	117	1
+	118	1
+	119	3
+	120	5
+	121	4
+	122	2
+	123	2
+	125	3
+	126	2
+	127	1
+	128	3
+	129	1
+	130	4
+	131	1
+	132	1
+	134	1
+	135	2
+	136	1
+	139	3
+	142	2
+	144	1
+	145	2
+	150	2
+	151	2
+	153	1
+	154	1
+	156	2
+	163	2
+	166	1
+	169	2
+	170	1
+	172	2
+	174	1
+	180	1
+	183	1
+	187	1
+	188	1
+	189	1
+	192	1
+	194	1
+	197	1
+	199	1
+	200	1
+	219	1
+	231	1
+	240	1
+	245	1
+	247	1
+	252	1
+	279	1
-	30	331
-	31	148
-	32	71
-	33	42
-	34	16
-	35	11
-	36	14
-	37	10
-	38	13
-	39	10
-	40	5
-	41	9
-	42	17
-	43	11
-	44	18
-	45	16
-	46	10
-	47	6
-	48	17
-	49	14
-	50	14
-	51	11
-	52	8
-	53	11
-	54	14
-	55	14
-	56	10
-	57	21
-	58	15
-	59	10
-	60	15
-	61	13
-	62	12
-	63	7
-	64	11
-	65	6
-	66	12
-	67	9
-	68	6
-	69	13
-	70	6
-	71	3
-	72	10
-	73	8
-	74	9
-	75	8
-	76	10
-	77	13
-	78	8
-	79	9
-	80	9
-	81	7
-	82	6
-	83	9
-	84	5
-	85	5
-	87	4
-	88	1
-	89	3
-	90	4
-	91	7
-	92	7
-	93	4
-	94	6
-	95	5
-	96	7
-	97	1
-	98	4
-	99	5
-	101	3
-	102	6
-	103	4
-	104	2
-	105	8
-	106	3
-	107	3
-	108	2
-	109	1
-	110	3
-	112	2
-	115	3
-	116	1
-	117	3
-	118	3
-	119	3
-	120	3
-	121	3
-	122	1
-	123	1
-	124	1
-	125	2
-	126	1
-	127	2
-	130	1
-	131	1
-	132	3
-	135	2
-	136	1
-	137	1
-	138	6
-	139	2
-	140	2
-	141	3
-	142	2
-	143	1
-	144	1
-	147	2
-	148	2
-	149	1
-	150	1
-	151	1
-	152	1
-	153	1
-	154	1
-	155	2
-	158	1
-	161	2
-	162	1
-	165	1
-	166	1
-	168	2
-	171	1
-	174	1
-	178	1
-	180	1
-	184	1
-	185	1
-	186	1
-	188	1
-	189	1
-	201	1
-	204	1
-	209	2
-	226	2
-	249	1
-	269	1
