# table produced by DamageProfiler
# using mapped file PaA016.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: PaA016.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	311
+	31	145
+	32	91
+	33	51
+	34	47
+	35	64
+	36	34
+	37	32
+	38	29
+	39	29
+	40	30
+	41	19
+	42	25
+	43	20
+	44	25
+	45	20
+	46	18
+	47	12
+	48	15
+	49	19
+	50	12
+	51	9
+	52	4
+	53	9
+	54	8
+	55	10
+	56	5
+	57	3
+	58	4
+	59	6
+	60	6
+	61	5
+	62	2
+	64	3
+	66	1
+	67	1
+	68	1
+	72	1
+	73	2
+	74	2
+	75	1
+	77	1
-	30	301
-	31	144
-	32	79
-	33	63
-	34	56
-	35	44
-	36	34
-	37	40
-	38	25
-	39	25
-	40	35
-	41	24
-	42	25
-	43	28
-	44	29
-	45	17
-	46	13
-	47	12
-	48	16
-	49	6
-	50	15
-	51	15
-	52	7
-	53	11
-	54	7
-	55	8
-	56	5
-	57	5
-	58	4
-	59	2
-	60	1
-	61	1
-	62	2
-	63	2
-	64	3
-	66	2
-	67	2
-	68	4
-	69	1
-	70	1
-	71	1
-	73	2
-	75	1
-	76	1
-	78	1
-	88	1
