# table produced by DamageProfiler
# using mapped file ScA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	207
+	31	121
+	32	102
+	33	93
+	34	83
+	35	72
+	36	71
+	37	76
+	38	57
+	39	82
+	40	69
+	41	59
+	42	41
+	43	60
+	44	57
+	45	52
+	46	43
+	47	35
+	48	38
+	49	44
+	50	47
+	51	35
+	52	33
+	53	40
+	54	16
+	55	25
+	56	30
+	57	22
+	58	15
+	59	18
+	60	21
+	61	19
+	62	11
+	63	10
+	64	16
+	65	9
+	66	8
+	67	12
+	68	12
+	69	11
+	70	5
+	71	8
+	72	6
+	73	8
+	74	5
+	75	7
+	76	4
+	77	8
+	78	3
+	79	8
+	80	3
+	81	2
+	82	5
+	83	5
+	84	2
+	85	1
+	86	1
+	87	2
+	88	1
+	89	3
+	90	2
+	91	1
-	30	185
-	31	130
-	32	112
-	33	102
-	34	79
-	35	87
-	36	73
-	37	82
-	38	79
-	39	63
-	40	62
-	41	58
-	42	65
-	43	52
-	44	43
-	45	60
-	46	52
-	47	43
-	48	40
-	49	30
-	50	24
-	51	31
-	52	36
-	53	26
-	54	32
-	55	16
-	56	21
-	57	21
-	58	19
-	59	22
-	60	14
-	61	11
-	62	10
-	63	15
-	64	16
-	65	19
-	66	8
-	67	8
-	68	7
-	69	12
-	70	8
-	71	8
-	72	6
-	73	9
-	74	9
-	75	7
-	76	9
-	77	3
-	78	7
-	79	3
-	80	3
-	81	6
-	82	4
-	83	3
-	84	6
-	85	1
-	86	2
-	87	4
-	88	3
-	89	2
-	90	1
-	91	2
