# table produced by DamageProfiler
# using mapped file ScA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA027.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.007633587786259542
2	0.009380863039399626
3	0.005154639175257732
4	0.008756567425569177
5	0.006279434850863423
6	0.006211180124223602
7	0.006033182503770739
8	0.00625
9	0.0
10	0.0045045045045045045
11	0.004411764705882353
12	0.003169572107765452
13	0.0014245014245014246
14	0.009244992295839754
15	0.0029940119760479044
16	0.005865102639296188
17	0.004366812227074236
18	0.0030349013657056147
19	0.0015105740181268882
20	0.004405286343612335
21	0.002861230329041488
22	0.004155124653739612
23	0.0029154518950437317
24	0.0046439628482972135
25	0.004329004329004329
