# table produced by DamageProfiler
# using mapped file ToA003.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA003.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.19148936170212766
2	0.04020100502512563
3	0.012
4	0.00847457627118644
5	0.004032258064516129
6	0.0
7	0.004524886877828055
8	0.004310344827586207
9	0.0
10	0.0049504950495049506
11	0.008928571428571428
12	0.004761904761904762
13	0.009302325581395349
14	0.004219409282700422
15	0.004484304932735426
16	0.008733624454148471
17	0.00881057268722467
18	0.009900990099009901
19	0.004424778761061947
20	0.0091324200913242
21	0.004672897196261682
22	0.0045662100456621
23	0.005076142131979695
24	0.00411522633744856
25	0.009900990099009901
