# table produced by DamageProfiler
# using mapped file ScA037.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA037.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.14722222222222223
2	0.010135135135135136
3	0.010471204188481676
4	0.011494252873563218
5	0.002881844380403458
6	0.005277044854881266
7	0.011299435028248588
8	0.0
9	0.006172839506172839
10	0.005813953488372093
11	0.008620689655172414
12	0.002890173410404624
13	0.0028169014084507044
14	0.002898550724637681
15	0.007853403141361256
16	0.005952380952380952
17	0.009316770186335404
18	0.0
19	0.006191950464396285
20	0.005988023952095809
21	0.0056022408963585435
22	0.01639344262295082
23	0.002881844380403458
24	0.008645533141210375
25	0.0076726342710997444
