# table produced by DamageProfiler
# using mapped file ToA028.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ToA028.ElandCommon_Human_nc.Target.rmdup.noMicro.bam
pos	3pG>A
1	0.00872515753756665
2	0.00745829244357213
3	0.007620660457239628
4	0.004309630366318581
5	0.003926495994974085
6	0.0034488164289073523
7	0.0030303030303030303
8	0.003117114442630251
9	0.002870676044208411
10	0.004976624943447444
11	0.003372928581903505
12	0.003787878787878788
13	0.0014806040864672786
14	0.003258293838862559
15	0.0035815549917922697
16	0.0033918301135525734
17	0.0032395817994404358
18	0.002627737226277372
19	0.004008313539192399
20	0.004437869822485207
21	0.0031413612565445027
22	0.003305785123966942
23	0.0026998650067496625
24	0.0037528868360277136
25	0.004369992716678805
