# table produced by DamageProfiler
# using mapped file RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: RxA007_BEST_012.ReedbuckBh_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.02905634758995248
2	0.02984953890956156
3	0.018941868060091443
4	0.0200707530142228
5	0.022661290322580647
6	0.021872863978127138
7	0.019091847265221878
8	0.017271709579401887
9	0.018318000488480014
10	0.019426535459789618
11	0.016682630906768837
12	0.01574740207833733
13	0.016999677731227843
14	0.017065121146260968
15	0.015241456762393711
16	0.013815684395463983
17	0.015347334410339256
18	0.015030456451230124
19	0.01581152660289351
20	0.013872279359005023
21	0.013152713239347878
22	0.014416983523447401
23	0.014216867469879518
24	0.014575866188769415
25	0.014577944980014107
