# table produced by DamageProfiler
# using mapped file ScA034.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA034.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Std: strand of reads
Std	Length	Occurrences
+	30	305
+	31	236
+	32	211
+	33	194
+	34	202
+	35	195
+	36	189
+	37	200
+	38	195
+	39	195
+	40	232
+	41	203
+	42	196
+	43	180
+	44	194
+	45	164
+	46	194
+	47	199
+	48	167
+	49	178
+	50	160
+	51	186
+	52	164
+	53	137
+	54	156
+	55	139
+	56	142
+	57	107
+	58	138
+	59	96
+	60	99
+	61	115
+	62	113
+	63	102
+	64	94
+	65	83
+	66	89
+	67	82
+	68	69
+	69	56
+	70	61
+	71	55
+	72	61
+	73	59
+	74	51
+	75	44
+	76	43
+	77	40
+	78	49
+	79	40
+	80	40
+	81	37
+	82	37
+	83	37
+	84	33
+	85	39
+	86	26
+	87	30
+	88	32
+	89	22
+	90	18
+	91	14
-	30	358
-	31	244
-	32	209
-	33	203
-	34	196
-	35	161
-	36	183
-	37	207
-	38	196
-	39	199
-	40	209
-	41	215
-	42	208
-	43	190
-	44	203
-	45	172
-	46	180
-	47	160
-	48	176
-	49	166
-	50	167
-	51	143
-	52	164
-	53	140
-	54	133
-	55	109
-	56	104
-	57	118
-	58	110
-	59	89
-	60	112
-	61	101
-	62	106
-	63	116
-	64	79
-	65	80
-	66	68
-	67	88
-	68	62
-	69	71
-	70	70
-	71	65
-	72	70
-	73	52
-	74	50
-	75	57
-	76	40
-	77	38
-	78	55
-	79	33
-	80	40
-	81	41
-	82	36
-	83	38
-	84	22
-	85	35
-	86	21
-	87	23
-	88	24
-	89	22
-	90	25
-	91	21
