# table produced by DamageProfiler
# using mapped file PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
# Sample ID: PcA005.ReedbuckBh_Human_nc.Target.rmdup.noMicro_SCR_001.bam
pos	5pC>T
1	0.0
2	0.007042253521126761
3	0.029850746268656716
4	0.007462686567164179
5	0.043478260869565216
6	0.015037593984962405
7	0.015151515151515152
8	0.014184397163120567
9	0.007352941176470588
10	0.008130081300813009
11	0.0078125
12	0.00819672131147541
13	0.021897810218978103
14	0.028368794326241134
15	0.00819672131147541
16	0.008264462809917356
17	0.023255813953488372
18	0.015037593984962405
19	0.00819672131147541
20	0.008771929824561403
21	0.0
22	0.0
23	0.03076923076923077
24	0.014925373134328358
25	0.024193548387096774
